,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,code3,year,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
53,,,,,0.0,0.75,,AFG,1982.0,6.0,0.09048302,0.09463572,0.029904531,0.15559705,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,-0.00069791824,-0.0006979164,0.009946957,0.083028436
54,,,,,0.0,0.75,,AFG,1983.0,6.0,0.035911016,0.094676875,0.029945685,0.16282453,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,4.1157007e-05,4.1153282e-05,0.0072274804,0.02845643
55,,,,,0.0,0.75,,AFG,1984.0,6.0,-0.018320926,0.09502094,0.030289756,0.15675953,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0003440678,0.00034407154,-0.006064996,-0.02577551
56,,,,,0.0,,,AFG,1985.0,6.0,-0.032825246,0.09532201,0.030590825,0.1658516,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0003010705,0.00030106865,0.009092063,-0.04027983
57,,,,,0.0,,,AFG,1986.0,6.0,0.07169367,0.09536481,0.03063362,0.14152709,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,4.2796135e-05,4.2796135e-05,-0.024324507,0.064239085
58,,,,,1.0,,,AFG,1987.0,6.0,-0.17314404,0.09537336,0.030642174,0.1603544,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,8.5532665e-06,8.5532665e-06,0.01882732,-0.18059863
59,,,,,0.0,,,AFG,1988.0,6.0,-0.09665129,0.095522605,0.030791417,0.16689685,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00014924258,0.00014924258,0.006542444,-0.104105875
60,,,,,0.0,,,AFG,1989.0,6.0,-0.024115883,0.09582722,0.031096034,0.16605651,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.000304617,0.000304617,-0.0008403361,-0.031570468
61,,,,,1.0,,,AFG,1990.0,7.0,-0.055807926,0.09593515,0.031203961,0.16638204,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00010792911,0.00010792725,0.00032553077,-0.06326251
62,,,,,0.0,,,AFG,1991.0,7.0,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00013718009,0.00013718195,-0.006785229,-0.013175661
63,,,,,1.0,,,AFG,1992.0,7.0,-0.07953044,0.09700019,0.032269005,0.17415069,0.005,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00092785805,0.0009278618,0.014553875,-0.08698502
64,,,,,0.0,,,AFG,1993.0,7.0,-0.13935366,0.09818561,0.033454414,0.16921195,0.005,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0011854172,0.0011854097,-0.0049387366,-0.14680825
65,,,,,0.0,,,AFG,1994.0,7.0,-0.10450654,0.09898508,0.0342539,0.17487785,0.005,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0007994771,0.00079948455,0.0056658983,-0.11196112
66,,,,,0.0,,,AFG,1995.0,7.0,0.20266731,0.09946618,0.03473499,0.16840482,0.005,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0004810989,0.00048109144,-0.0064730346,0.19521272
67,,,,,0.0,,,AFG,1996.0,7.0,0.02664417,0.09978592,0.03505473,0.15807389,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00031973422,0.00031973794,-0.01033093,0.019189585
68,,,,,0.0,,,AFG,1997.0,7.0,0.028209182,0.10009082,0.03535963,0.16461685,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0003049001,0.0003049001,0.006542966,0.020754598
69,,,,,0.0,,,AFG,1998.0,7.0,0.028261118,0.10039452,0.03566333,0.16525303,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00030370057,0.00030370057,0.0006361753,0.020806532
70,,,,,0.0,,,AFG,1999.0,7.0,0.02707857,0.10070955,0.03597836,0.17285785,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0003150329,0.00031502917,0.0076048225,0.019623987
