country,t,outp,outpd%,outptt%
BIH,2000,238.497422,0.474630264,0.293408024
BIH,2001,252.30204,0.483257435,0.285656379
BIH,2002,287.8587576,0.518768945,0.271090868
BIH,2003,369.8862255,0.511857601,0.270904408
BIH,2004,449.9132386,0.482608134,0.276971552
BIH,2005,487.7098541,0.453783319,0.285214355
BIH,2006,569.2723175,0.423878512,0.288375565
BIH,2007,708.8979863,0.413505588,0.287236615
BIH,2008,871.5610247,0.416649768,0.283650121
BLR,1990,12.62889493,4.76e-05,0.394340226
BLR,1991,10.60002966,3.78e-05,0.225934621
BLR,1992,19.24218211,1.81e-05,0.303411526
BLR,1993,21.96134387,1.79e-05,0.216254947
BLR,1994,23.57425264,1.73e-05,0.169160592
BLR,1995,23.60368416,1.38e-05,0.126437506
BLR,1996,24.67381712,1.32e-05,0.101956199
BLR,1997,27.67686497,3.04e-06,0.031046671
BLR,1998,48.1316409,1.74e-05,0.309161935
BLR,1999,43.5537016,1.68e-05,0.311381865
BLR,2000,63.79625985,2.3e-05,0.542029048
BLR,2001,55.07599305,1.49e-05,0.349782243
BLR,2002,57.68058728,1.6e-05,0.342104791
BLR,2003,61.26299992,7.36e-06,0.17656069
BLR,2004,77.41643609,3.39e-06,0.089610225
BLR,2005,91.23203206,4.83e-06,0.12151547
BLR,2006,111.8223295,2.15e-06,0.053632273
BLR,2007,139.5434103,1.33e-06,0.03580211
BLR,2008,185.860728,1.12e-06,0.034095374
BLZ,1990,11.44825744,0.226182315,0.439336104
BLZ,1991,11.8888688,0.233974949,0.424385504
BLZ,1992,14.07255754,0.196987226,0.416631967
BLZ,1993,14.72959327,0.242700046,0.424098343
BLZ,1994,16.26245035,0.242389563,0.426384062
BLZ,1995,18.14612524,0.237109889,0.42143749
BLZ,1996,24.50481047,0.303788809,0.414037901
BLZ,1997,26.06432061,0.280796229,0.422899759
BLZ,1998,27.83653362,0.294545958,0.428991852
BLZ,1999,30.96378314,0.277951425,0.434408245
BLZ,2000,43.50799719,0.199842272,0.434091121
BLZ,2001,36.5153356,0.276607909,0.42494309
BLZ,2002,37.39085593,0.288617533,0.426345351
BLZ,2003,36.70808744,0.303616345,0.421473329
BLZ,2004,37.98459646,0.320196449,0.41681808
BLZ,2005,40.84521771,0.300724068,0.419447889
BLZ,2006,43.74331817,0.287847665,0.40904727
BLZ,2007,45.64500541,0.309217166,0.395829097
