country,t,gross_output
CAF,1998,1891.498444
CAF,1999,1933.020435
CAF,2000,1812.997812
CAF,2001,1821.388582
CAF,2002,1905.434286
CAF,2003,2171.040313
CAF,2004,2487.533866
CAF,2005,2650.392624
CAF,2006,2947.119113
CAF,2007,3408.850683
CAF,2008,3980.65139
CAF,2009,3968.961808
CAF,2010,3964.78683
CAF,2011,4390.358138
CAF,2012,4523.197661
CAF,2013,3386.529692
CAF,2014,3475.915303
CAF,2015,3424.453673
CAM,2000,6569.829384
CAM,2007,15694.00764
CAM,2008,18612.02209
CAM,2009,18497.81761
CAM,2010,19801.24233
CAM,2011,22820.54104
CAM,2012,24992.62105
CAM,2013,27623.19127
CAM,2014,30414.15725
CAM,2015,33066.25769
CAM,2016,36849.89177
CAM,2017,40963.36083
CAM,2018,45772.17068
CAM,2019,50591.20475
CAM,2020,47661.16328
CAM,2021,49853.58909
CAN,1965,90206.67934
CAN,1966,100464.2886
CAN,1967,106839.2427
CAN,1968,116374.3344
CAN,1969,128118.4805
CAN,1970,140821.275
CAN,1971,159841.7549
CAN,1972,181993.6288
CAN,1973,212229.3423
CAN,1974,264965.4092
CAN,1975,288004.4276
CAN,1976,337554.8982
CAN,1977,348701.0969
CAN,1978,367225.0206
CAN,1979,416259.1889
CAN,1980,475037.8457
CAN,1981,534690.1448
CAN,1982,536070.051
CAN,1983,579165.2752
CAN,1984,607088.7084
CAN,1985,620525.6752
CAN,1986,633561.5801
CAN,1987,719439.067
CAN,1988,851640.8184
CAN,1989,949797.4909
CAN,1990,2063036.1
CAN,1991,2103867.987
CAN,1992,2055873.08
